0 1 2 3 4 5 6 7 8 9 
1 2 3 4 9 0 5 6 7 8 
4 0 8 7 6 3 2 1 9 5 
9 8 7 6 5 4 3 2 1 0 
5 9 1 2 3 6 7 8 0 4 
3 5 9 8 2 7 1 0 4 6 
2 3 4 0 8 1 9 5 6 7 
7 6 5 9 1 8 0 4 3 2 
6 4 0 1 7 2 8 9 5 3 
8 7 6 5 0 9 4 3 2 1 

0 1 2 6 4 5 3 7 8 9 
4 9 1 2 6 3 7 8 0 5 
1 2 3 5 0 9 4 6 7 8 
3 5 0 8 7 2 1 9 4 6 
6 4 9 1 2 7 8 0 5 3 
5 0 8 7 3 6 2 1 9 4 
8 7 6 4 9 0 5 3 2 1 
7 3 5 9 8 1 0 4 6 2 
9 8 7 3 5 4 6 2 1 0 
2 6 4 0 1 8 9 5 3 7 

0 1 2 3 4 5 6 7 8 9 
9 8 7 6 5 4 3 2 1 0 
5 9 1 2 3 6 7 8 0 4 
8 2 3 4 0 9 5 6 7 1 
4 0 8 7 6 3 2 1 9 5 
3 5 0 8 2 7 1 9 4 6 
7 3 5 0 8 1 9 4 6 2 
2 6 4 9 1 8 0 5 3 7 
1 7 6 5 9 0 4 3 2 8 
6 4 9 1 7 2 8 0 5 3 
